"";"Estado";"emp";"sit";"setor";"esp";"dep";"PL";"lucros";"gov_ca";"gov_cf";"gov_aud";"maior_rem";"plr_rva";"qde_empregados";"desp_investimento";"desp_pessoal";"Dividendos";"Subvenção";"Subvenção (anterior)";"Reforço de Capital";"Reforço de Capital (anterior)";"capital";"link";"indicio_dependencia";"Nome_estado";"REGIAO";"gov";"result_NA";"Resultado para o Estado Acionista"
"45";"BA";"HABITAÇÃO E URBANIZAÇÃO DA BAHIA SA";"EM LIQUIDAÇÃO";"HABITAÇÃO E URBANIZAÇÃO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";-110468503,03;-72337244,98;"SIM";"SIM";"NÃO";348209,88;"Não";51;0;9675773,02;0;0;0;0;0;0;NA;"NÃO DEPENDENTE";"Bahia";"Nordeste";FALSE;FALSE;0
"46";"GO";"Indústria Química do Estado de Goiás";"ATIVA";"SAÚDE";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";-47199477,87;-185231,32;"SIM";"SIM";"SIM";240497,4;"Não";244;0;38864423,3;0;74543497,37;27650145,39;0;0;16516253,32;"https://goias,gov,br/iquego/balancos-contabeis/";"DEPENDENTE";"Goiás";"Centro-oeste";TRUE;FALSE;-74543497,37
"47";"MS";"LOTESUL  LOTERIAL ESTADUAL DE MS";"ATIVA";"FINANCEIRO";"EMPRESA PÚBLICA";"Não Dependente";0;0;"NÃO";"NÃO";"NÃO";0;"Não";0;0;0;0;0;0;0;0;0;NA;"NÃO DEPENDENTE";"Mato Grosso do Sul";"Centro-oeste";FALSE;FALSE;0
"48";"AL";"Laboratório Industrial Farmacêutico";"EM LIQUIDAÇÃO";"SAÚDE";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";-50970,82;86544,66;"NÃO";"SIM";"NÃO";62321,22;"Não";0;0;4793,94;0;430375,27;354932,54;0;0;0;NA;"DEPENDENTE";"Alagoas";"Nordeste";FALSE;FALSE;-430375,27
"49";"PB";"PBTUR Hotéis SA";"ATIVA";"TURISMO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";-28930827,36;-36950434,45;"SIM";"SIM";"NÃO";21766,11;"Não";1;0;64395,21;0;131072,58;137235,98;0;0;701977,56;"https://www,pbtur,pb,gov,br/";"DEPENDENTE";"Paraíba";"Nordeste";FALSE;FALSE;-131072,58
"50";"PE";"PERNAMBUCO PARTICIPAÇÕES E INVESTIMENTOS SA";"ATIVA";"GESTÃO DE ATIVOS";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";-173306115,06;4730722,81;"SIM";"SIM";"NÃO";266619,12;"Não";223;82453,65;90348534,46;0;103486318,27;116576907,02;2418337,31;3411145,63;2418337,31;"https://www,perpart,pe,gov,br/images/transparencia/Carta_Anual_2024,pdf";"DEPENDENTE";"Pernambuco";"Nordeste";FALSE;FALSE;-105904655,58
"51";"SC";"SANTA CATARINA TURISMO SA";"EM LIQUIDAÇÃO";"TURISMO";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";-227931;-233560;"NÃO";"SIM";"NÃO";2709,98;"Não";31;0;6063861;0;0;0;0;0;1165848;NA;"DEPENDENTE";"Santa Catarina";"Sul";FALSE;FALSE;0
"52";"SC";"Santa Catarina Participação e Investimentos SA";"ATIVA";"FINANCEIRO";"SOCIEDADE DE ECONOMIA MISTA";"Não Dependente";-12619554620,6;-1399235709;"SIM";"SIM";"SIM";0;"Não";0;0;0;0;0;0;0;0;117204239,52;NA;"NÃO DEPENDENTE";"Santa Catarina";"Sul";TRUE;FALSE;0
"53";"AL";"Serviços de Engenharia de Alagoas SA";"EM LIQUIDAÇÃO";"OUTROS";"SOCIEDADE DE ECONOMIA MISTA";"Dependente";-1653049,78;0;"NÃO";"SIM";"NÃO";539804,72;"Não";5;0;41523,44;0;387314,54;1018063,95;0;0;0;NA;"DEPENDENTE";"Alagoas";"Nordeste";FALSE;FALSE;-387314,54
"54";"DF";"Sociedade de Abastecimento de Brasília";"EM LIQUIDAÇÃO";"SANEAMENTO";"EMPRESA PÚBLICA";"Dependente";-1727395,76;252652,15;"SIM";"SIM";"NÃO";287369,68;"Não";113;0;21157093,6;0;21416536,55;20598560,11;0;22,3;0;NA;"DEPENDENTE";"Distrito Federal";"Centro-oeste";FALSE;FALSE;-21416536,55
